DoD,Cycle_Nb_LFP
0.0116,1.98E+06
0.0169,1.72E+06
0.0285,1.05E+06
0.0343,9.26E+05
0.0451,5.80E+05
0.0503,5.00E+05
0.0625,3.19E+05
0.0706,2.95E+05
0.0927,2.12E+05
0.1007,1.98E+05
0.1238,1.52E+05
0.133,1.43E+05
0.1573,1.12E+05
0.1665,1.07E+05
0.1907,8.84E+04
0.2008,8.51E+04
0.2259,7.15E+04
0.2359,6.88E+04
0.261,5.83E+04
0.271,5.66E+04
0.2978,4.90E+04
0.307,4.72E+04
0.3329,4.15E+04
0.343,4.04E+04
0.3697,3.56E+04
0.3789,3.48E+04
0.4048,3.09E+04
0.4149,3.03E+04
0.4416,2.70E+04
0.4508,2.63E+04
0.4768,2.36E+04
0.4868,2.32E+04
0.5136,2.09E+04
0.5228,2.05E+04
0.5504,1.86E+04
0.5596,1.82E+04
0.5872,1.66E+04
0.5964,1.63E+04
0.6223,1.48E+04
0.6315,1.45E+04
0.6591,1.33E+04
0.6683,1.30E+04
0.6959,1.20E+04
0.7051,1.17E+04
0.7327,1.08E+04
0.7419,1.07E+04
0.7678,9.77E+03
0.7779,9.69E+03
0.8046,8.87E+03
0.8138,8.74E+03
0.8414,8.06E+03
0.8506,7.91E+03
0.8782,7.36E+03
0.8874,7.21E+03
0.915,6.71E+03
0.9242,6.59E+03
0.9518,6.13E+03
0.9585,6.14E+03