DoD,Cycle_Nb_LMO
0.0138,2.32E+05
0.0218,1.97E+05
0.0301,1.65E+05
0.0385,1.38E+05
0.0469,1.16E+05
0.0556,9.60E+04
0.0647,8.66E+04
0.0753,7.99E+04
0.0854,7.37E+04
0.0954,6.77E+04
0.105,6.26E+04
0.115,5.84E+04
0.125,5.53E+04
0.136,5.24E+04
0.146,4.95E+04
0.156,4.71E+04
0.166,4.46E+04
0.176,4.28E+04
0.186,4.06E+04
0.196,3.90E+04
0.206,3.75E+04
0.216,3.60E+04
0.225,3.52E+04
0.236,3.37E+04
0.246,3.27E+04
0.256,3.11E+04
0.266,3.01E+04
0.276,2.91E+04
0.286,2.81E+04
0.296,2.73E+04
0.306,2.62E+04
0.316,2.55E+04
0.326,2.48E+04
0.336,2.40E+04
0.346,2.33E+04
0.356,2.26E+04
0.366,2.19E+04
0.376,2.13E+04
0.386,2.07E+04
0.396,2.01E+04
0.407,1.96E+04
0.417,1.91E+04
0.427,1.85E+04
0.437,1.80E+04
0.447,1.76E+04
0.457,1.71E+04
0.467,1.66E+04
0.477,1.62E+04
0.487,1.57E+04
0.497,1.53E+04
0.507,1.49E+04
0.517,1.46E+04
0.527,1.42E+04
0.537,1.38E+04
0.547,1.34E+04
0.557,1.31E+04
0.567,1.28E+04
0.577,1.25E+04
0.587,1.22E+04
0.597,1.19E+04
0.607,1.15E+04
0.617,1.12E+04
0.627,1.09E+04
0.637,1.07E+04
0.647,1.04E+04
0.657,1.01E+04
0.667,9.86E+03
0.678,9.58E+03
0.688,9.36E+03
0.698,9.10E+03
0.708,8.85E+03
0.718,8.65E+03
0.728,8.41E+03
0.738,8.19E+03
0.748,7.94E+03
0.758,7.70E+03
0.768,7.53E+03
0.778,7.30E+03
0.788,7.11E+03
0.798,6.90E+03
0.808,6.72E+03
0.818,6.50E+03
0.828,6.32E+03
0.838,6.13E+03
0.848,5.94E+03
0.858,5.76E+03
0.868,5.59E+03
0.878,5.42E+03
0.888,5.24E+03
0.898,5.07E+03
0.908,4.91E+03
0.918,4.74E+03
0.928,4.61E+03
0.938,4.41E+03
0.948,4.25E+03
0.957,4.19E+03