DoD,Cycle_Nb_NMC
0.0135,4.25E+06
0.0194,3.23E+06
0.0255,2.10E+06
0.0312,1.56E+06
0.0398,9.16E+05
0.045,7.18E+05
0.0572,3.29E+05
0.0763,2.05E+05
0.0898,1.61E+05
0.1163,9.92E+04
0.1327,8.17E+04
0.1546,6.46E+04
0.1815,4.86E+04
0.1968,4.26E+04
0.2217,3.45E+04
0.2384,3.15E+04
0.2682,2.53E+04
0.2811,2.40E+04
0.308,2.04E+04
0.3229,1.90E+04
0.3534,1.62E+04
0.3664,1.54E+04
0.3969,1.35E+04
0.409,1.25E+04
0.4404,1.12E+04
0.4534,1.09E+04
0.4803,9.90E+03
0.496,9.40E+03
0.5204,8.80E+03
0.5395,8.28E+03
0.5608,7.79E+03
0.5829,7.29E+03
0.616,6.61E+03
0.629,6.40E+03
0.6595,5.82E+03
0.6733,5.76E+03
0.7001,5.30E+03
0.7168,5.17E+03
0.7482,4.75E+03
0.7611,4.69E+03
0.7887,4.38E+03
0.8055,4.28E+03
0.8368,3.98E+03
0.8498,3.92E+03
0.8774,3.74E+03
0.8941,3.62E+03
0.9255,3.40E+03
0.9385,3.34E+03
0.9585,3.22E+03